Season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1998,1,Man United,,,,,,,,79
1998,2,Arsenal,,,,,,,,78
1998,3,Chelsea,,,,,,,,75
1998,4,Leeds,,,,,,,,67
1998,5,West Ham,,,,,,,,57
1998,6,Aston Villa,,,,,,,,55
1998,7,Liverpool,,,,,,,,54
1998,8,Derby,,,,,,,,52
1998,9,Middlesbrough,,,,,,,,51
1998,10,Leicester,,,,,,,,49
1998,11,Tottenham,,,,,,,,47
1998,12,Sheffield,,,,,,,,46
1998,13,Newcastle,,,,,,,,46
1998,14,Everton,,,,,,,,43
1998,15,Coventry,,,,,,,,42
1998,16,Wimbledon,,,,,,,,42
1998,17,Southampton,,,,,,,,41
1998,18,Charlton,,,,,,,,36
1998,19,Blackburn,,,,,,,,35
1998,20,Nottingham Forest,,,,,,,,30
1999,1,Man United,,,,,,,,91
1999,2,Arsenal,,,,,,,,73
1999,3,Leeds,,,,,,,,69
1999,4,Liverpool,,,,,,,,67
1999,5,Chelsea,,,,,,,,65
1999,6,Aston Villa,,,,,,,,58
1999,7,Sunderland,,,,,,,,58
1999,8,Leicester,,,,,,,,55
1999,9,West Ham,,,,,,,,55
1999,10,Tottenham,,,,,,,,53
1999,11,Newcastle,,,,,,,,52
1999,12,Middlesbrough,,,,,,,,52
1999,13,Everton,,,,,,,,50
1999,14,Coventry,,,,,,,,44
1999,15,Southampton,,,,,,,,44
1999,16,Derby,,,,,,,,38
1999,17,Bradford,,,,,,,,36
1999,18,Wimbledon,,,,,,,,33
1999,19,Sheffield,,,,,,,,31
1999,20,Watford,,,,,,,,24
2000,1,Man United,38,24,8,6,79,31,48,80
2000,2,Arsenal,38,20,10,8,63,38,25,70
2000,3,Liverpool,38,20,9,9,71,39,32,69
2000,4,Leeds,38,20,8,10,64,43,21,68
2000,5,Ipswich,38,20,6,12,57,42,15,66
2000,6,Chelsea,38,17,10,11,68,45,23,61
2000,7,Sunderland,38,15,12,11,46,41,5,57
2000,8,Aston Villa,38,13,15,10,46,43,3,54
2000,9,Charlton,38,14,10,14,50,57,-7,52
2000,10,Southampton,38,14,10,14,40,48,-8,52
2000,11,Newcastle,38,14,9,15,44,50,-6,51
2000,12,Tottenham,38,13,10,15,47,54,-7,49
2000,13,Leicester,38,14,6,18,39,51,-12,48
2000,14,Middlesbrough,38,9,15,14,44,44,0,42
2000,15,West Ham,38,10,12,16,45,50,-5,42
2000,16,Everton,38,11,9,18,45,59,-14,42
2000,17,Derby,38,10,12,16,37,59,-22,42
2000,18,Man City,38,8,10,20,41,65,-24,34
2000,19,Coventry,38,8,10,20,36,63,-27,34
2000,20,Bradford,38,5,11,22,30,70,-40,26
2001,1,Arsenal,38,26,9,3,79,36,43,87
2001,2,Liverpool,38,24,8,6,67,30,37,80
2001,3,Man United,38,24,5,9,87,45,42,77
2001,4,Newcastle,38,21,8,9,74,52,22,71
2001,5,Leeds,38,18,12,8,53,37,16,66
2001,6,Chelsea,38,17,13,8,66,38,28,64
2001,7,West Ham,38,15,8,15,48,57,-9,53
2001,8,Aston Villa,38,12,14,12,46,47,-1,50
2001,9,Tottenham,38,14,8,16,49,53,-4,50
2001,10,Blackburn,38,12,10,16,55,51,4,46
2001,11,Southampton,38,12,9,17,46,54,-8,45
2001,12,Middlesbrough,38,12,9,17,35,47,-12,45
2001,13,Fulham,38,10,14,14,36,44,-8,44
2001,14,Charlton,38,10,14,14,38,49,-11,44
2001,15,Everton,38,11,10,17,45,57,-12,43
2001,16,Bolton,38,9,13,16,44,62,-18,40
2001,17,Sunderland,38,10,10,18,29,51,-22,40
2001,18,Ipswich,38,9,9,20,41,64,-23,36
2001,19,Derby,38,8,6,24,33,63,-30,30
2001,20,Leicester,38,5,13,20,30,64,-34,28
2002,1,Man United,38,25,8,5,74,34,40,83
2002,2,Arsenal,38,23,9,6,85,42,43,78
2002,3,Newcastle,38,21,6,11,63,48,15,69
2002,4,Chelsea,38,19,10,9,68,38,30,67
2002,5,Liverpool,38,18,10,10,61,41,20,64
2002,6,Blackburn,38,16,12,10,52,43,9,60
2002,7,Everton,38,17,8,13,48,49,-1,59
2002,8,Southampton,38,13,13,12,43,46,-3,52
2002,9,Man City,38,15,6,17,47,54,-7,51
2002,10,Tottenham,38,14,8,16,51,62,-11,50
2002,11,Middlesbrough,38,13,10,15,48,44,4,49
2002,12,Charlton,38,14,7,17,45,56,-11,49
2002,13,Birmingham,38,13,9,16,41,49,-8,48
2002,14,Fulham,38,13,9,16,41,50,-9,48
2002,15,Leeds,38,14,5,19,58,57,1,47
2002,16,Aston Villa,38,12,9,17,42,47,-5,45
2002,17,Bolton,38,10,14,14,41,51,-10,44
2002,18,West Ham,38,10,12,16,42,59,-17,42
2002,19,West Brom,38,6,8,24,29,65,-36,26
2002,20,Sunderland,38,4,7,27,21,65,-44,19
2003,1,Arsenal,38,26,12,0,73,26,47,90
2003,2,Chelsea,38,24,7,7,67,30,37,79
2003,3,Man United,38,23,6,9,64,35,29,75
2003,4,Liverpool,38,16,12,10,55,37,18,60
2003,5,Newcastle,38,13,17,8,52,40,12,56
2003,6,Aston Villa,38,15,11,12,48,44,4,56
2003,7,Charlton,38,14,11,13,51,51,0,53
2003,8,Bolton,38,14,11,13,48,56,-8,53
2003,9,Fulham,38,14,10,14,52,46,6,52
2003,10,Birmingham,38,12,14,12,43,48,-5,50
2003,11,Middlesbrough,38,13,9,16,44,52,-8,48
2003,12,Southampton,38,12,11,15,44,45,-1,47
2003,13,Portsmouth,38,12,9,17,47,54,-7,45
2003,14,Tottenham,38,13,6,19,47,57,-10,45
2003,15,Blackburn,38,12,8,18,51,59,-8,44
2003,16,Man City,38,9,14,15,55,54,1,41
2003,17,Everton,38,9,12,17,45,57,-12,39
2003,18,Leicester,38,6,15,17,48,65,-17,33
2003,19,Leeds,38,8,9,21,40,79,-39,33
2003,20,Wolves,38,7,12,19,38,77,-39,33
2004,1,Chelsea,38,29,8,1,72,15,57,95
2004,2,Arsenal,38,25,8,5,87,36,51,83
2004,3,Man United,38,22,11,5,58,26,32,77
2004,4,Everton,38,18,7,13,45,46,-1,61
2004,5,Liverpool,38,17,7,14,52,41,11,58
2004,6,Bolton,38,16,10,12,49,44,5,58
2004,7,Middlesbrough,38,14,13,11,53,46,7,55
2004,8,Man City,38,13,13,12,47,39,8,52
2004,9,Tottenham,38,14,10,14,47,41,6,52
2004,10,Aston Villa,38,12,11,15,45,52,-7,47
2004,11,Charlton,38,12,10,16,42,58,-16,46
2004,12,Birmingham,38,11,12,15,40,46,-6,45
2004,13,Fulham,38,12,8,18,52,60,-8,44
2004,14,Newcastle,38,10,14,14,47,57,-10,44
2004,15,Blackburn,38,9,15,14,32,43,-11,42
2004,16,Portsmouth,38,10,9,19,43,59,-16,39
2004,17,West Brom,38,6,16,16,36,61,-25,34
2004,18,Crystal Palace,38,7,12,19,41,62,-21,33
2004,19,Norwich,38,7,12,19,42,77,-35,33
2004,20,Southampton,38,6,14,18,45,66,-21,32
2005,1,Chelsea,38,29,4,5,72,22,50,91
2005,2,Man United,38,25,8,5,72,34,38,83
2005,3,Liverpool,38,25,7,6,57,25,32,82
