Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D1,19/08/16,Bayern Munich,Hertha,2,2,D,1,2,A,12,6,8,4,6,18,12,0,3,3,0,0
D1,19/08/17,Dortmund,Augsburg,5,1,H,1,1,D,21,5,11,2,8,7,10,0,0,0,0,0
D1,19/08/17,Leverkusen,Paderborn,3,2,H,2,2,D,11,8,5,7,8,13,6,6,2,0,0,0
D1,19/08/17,Wolfsburg,FC Koln,2,1,H,1,0,H,10,7,6,3,15,18,2,6,1,3,0,0
D1,19/08/17,Werder Bremen,Fortuna Dusseldorf,1,3,A,0,1,A,19,13,11,8,9,13,14,5,0,2,0,0
D1,19/08/17,Freiburg,Mainz,3,0,H,0,0,D,18,13,9,6,6,14,5,5,1,3,0,0
D1,19/08/17,M'gladbach,Schalke 04,0,0,D,0,0,D,11,7,5,2,10,11,8,3,3,2,0,0
D1,19/08/18,Ein Frankfurt,Hoffenheim,1,0,H,1,0,H,13,9,9,2,19,9,10,5,3,1,0,0
D1,19/08/18,Union Berlin,RB Leipzig,0,4,A,0,3,A,9,14,3,9,14,7,3,6,1,0,0,0
D1,19/08/23,FC Koln,Dortmund,1,3,A,1,0,H,9,11,2,7,12,11,7,8,2,1,0,0
D1,19/08/24,Hoffenheim,Werder Bremen,3,2,H,0,1,A,7,12,4,7,14,17,3,6,2,4,0,1
D1,19/08/24,Fortuna Dusseldorf,Leverkusen,1,3,A,0,3,A,10,10,7,8,15,11,1,5,3,2,0,0
D1,19/08/24,Mainz,M'gladbach,1,3,A,1,1,D,16,10,5,7,13,15,3,5,2,2,0,0
D1,19/08/24,Augsburg,Union Berlin,1,1,D,0,0,D,12,7,5,2,17,19,3,4,3,1,0,1
D1,19/08/24,Paderborn,Freiburg,1,3,A,1,2,A,13,9,3,5,21,6,9,5,3,1,0,0
D1,19/08/24,Schalke 04,Bayern Munich,0,3,A,0,1,A,8,10,3,7,11,10,3,4,0,0,0,0
D1,19/08/25,RB Leipzig,Ein Frankfurt,2,1,H,1,0,H,11,12,6,6,10,15,4,1,2,3,0,0
D1,19/08/25,Hertha,Wolfsburg,0,3,A,0,1,A,10,11,3,5,15,12,2,5,1,0,0,0
D1,19/08/30,M'gladbach,RB Leipzig,1,3,A,0,1,A,12,16,4,6,18,19,9,5,3,2,0,0
D1,19/08/31,Bayern Munich,Mainz,6,1,H,2,1,H,20,9,10,5,16,13,10,1,3,3,0,0
D1,19/08/31,Leverkusen,Hoffenheim,0,0,D,0,0,D,20,9,2,2,9,12,19,0,2,2,0,0
D1,19/08/31,Wolfsburg,Paderborn,1,1,D,0,1,A,18,11,5,5,8,15,8,3,0,3,0,0
D1,19/08/31,Freiburg,FC Koln,1,2,A,1,0,H,15,11,2,4,6,15,5,6,0,2,0,0
D1,19/08/31,Schalke 04,Hertha,3,0,H,1,0,H,10,9,3,3,15,10,5,3,1,1,0,0
D1,19/08/31,Union Berlin,Dortmund,3,1,H,1,1,D,14,17,6,4,13,2,7,4,0,0,0,0
D1,19/09/01,Werder Bremen,Augsburg,3,2,H,2,1,H,16,14,6,7,10,14,4,2,1,3,0,1
D1,19/09/01,Ein Frankfurt,Fortuna Dusseldorf,2,1,H,0,1,A,16,15,9,5,14,16,4,1,2,4,0,0
D1,19/09/13,Fortuna Dusseldorf,Wolfsburg,1,1,D,1,1,D,14,17,4,7,7,15,3,8,0,2,0,0
D1,19/09/14,Dortmund,Leverkusen,4,0,H,1,0,H,12,14,9,4,9,13,3,3,0,3,0,0
D1,19/09/14,Mainz,Hertha,2,1,H,1,0,H,14,16,8,9,16,11,6,3,2,2,0,0
D1,19/09/14,Augsburg,Ein Frankfurt,2,1,H,2,0,H,8,23,6,4,8,9,2,11,2,1,0,0
D1,19/09/14,FC Koln,M'gladbach,0,1,A,0,1,A,14,16,7,5,23,21,4,7,2,2,0,0
D1,19/09/14,Union Berlin,Werder Bremen,1,2,A,1,1,D,15,16,8,6,24,12,7,4,2,3,1,1
D1,19/09/14,RB Leipzig,Bayern Munich,1,1,D,1,1,D,12,15,6,6,12,4,3,6,4,2,0,0
D1,19/09/15,Hoffenheim,Freiburg,0,3,A,0,2,A,25,15,6,7,11,6,12,4,0,2,0,0
D1,19/09/15,Paderborn,Schalke 04,1,5,A,1,1,D,12,20,3,13,17,12,3,5,2,1,0,0
D1,19/09/20,Schalke 04,Mainz,2,1,H,1,0,H,20,15,8,4,7,15,5,5,1,1,0,0
D1,19/09/21,Bayern Munich,FC Koln,4,0,H,1,0,H,26,19,6,6,15,20,12,4,4,0,0,1
D1,19/09/21,Leverkusen,Union Berlin,2,0,H,2,0,H,24,7,8,3,10,11,8,1,0,1,0,1
D1,19/09/21,Hertha,Paderborn,2,1,H,1,0,H,8,19,5,8,13,14,1,8,4,4,0,0
D1,19/09/21,Freiburg,Augsburg,1,1,D,1,1,D,18,13,6,3,13,13,7,4,1,1,0,0
