Season,Pos,Team,Pts
2003,1,Milan,82
2003,2,Roma,71
2003,3,Juventus,69
2003,4,Inter,59
2003,5,Parma,58
2003,6,Lazio,56
2003,7,Udinese,50
2003,8,Sampdoria,46
2003,9,ChievoVerona,44
2003,10,Lecce,41
2003,11,Brescia,40
2003,12,Bologna,39
2003,13,Siena,34
2003,14,Reggina,34
2003,15,Perugia,32
2003,16,Modena,30
2003,17,Empoli,30
2003,18,Ancona,13
2004,1,Juventus,86
2004,2,Milan,79
2004,3,Inter,72
2004,4,Udinese,62
2004,5,Sampdoria,61
2004,6,Palermo,53
2004,7,Messina,48
2004,8,Roma,45
2004,9,Livorno,45
2004,10,Lazio,44
2004,11,Lecce,44
2004,12,Cagliari,44
2004,13,Reggina,44
2004,14,Siena,43
2004,15,ChievoVerona,43
2004,16,Fiorentina,42
2004,17,Parma,42
2004,18,Bologna,42
2004,19,Brescia,41
2004,20,Atalanta,35
2005,1,Inter,76
2005,2,Roma,69
2005,3,Milan,58
2005,4,ChievoVerona,54
2005,5,Palermo,52
2005,6,Livorno,49
2005,7,Parma,45
2005,8,Empoli,45
2005,9,Fiorentina,44
2005,10,Ascoli,43
2005,11,Udinese,43
2005,12,Sampdoria,41
2005,13,Reggina,41
2005,14,Cagliari,39
2005,15,Siena,39
2005,16,Lazio,32
2005,17,Messina,31
2005,18,Lecce,29
2005,19,Treviso,21
2005,20,Juventus,0
2006,1,Inter,97
2006,2,Roma,75
2006,3,Lazio,62
2006,4,Milan,61
2006,5,Palermo,58
2006,6,Fiorentina,58
2006,7,Empoli,54
2006,8,Atalanta,50
2006,9,Sampdoria,49
2006,10,Udinese,46
2006,11,Livorno,43
2006,12,Parma,42
2006,13,Catania,41
2006,14,Reggina,40
2006,15,Siena,40
2006,16,Torino,40
2006,17,Cagliari,40
2006,18,ChievoVerona,39
2006,19,Ascoli,27
2006,20,Messina,26
2007,1,Inter,85
2007,2,Roma,82
2007,3,Juventus,72
2007,4,Fiorentina,66
2007,5,Milan,64
2007,6,Sampdoria,60
2007,7,Udinese,57
2007,8,Napoli,50
2007,9,Atalanta,48
2007,10,Genoa,48
2007,11,Palermo,47
2007,12,Lazio,46
2007,13,Siena,44
2007,14,Cagliari,42
2007,15,Torino,40
2007,16,Reggina,40
2007,17,Catania,37
2007,18,Empoli,36
2007,19,Parma,34
2007,20,Livorno,30
2008,1,Inter,84
2008,2,Juventus,74
2008,3,Milan,74
2008,4,Fiorentina,68
2008,5,Genoa,68
2008,6,Roma,63
2008,7,Udinese,58
2008,8,Palermo,57
2008,9,Cagliari,53
2008,10,Lazio,50
