Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
I1,20/09/19,Fiorentina,Torino,1,0,H,0,0,D,16,6,3,3,10,9,4,1,3,1,0,0
I1,20/09/19,Hellas Verona,Roma,3,0,H,0,0,D,10,25,5,5,19,21,0,6,2,0,0,0
I1,20/09/20,Parma,Napoli,0,2,A,0,0,D,9,19,3,7,17,12,4,2,4,1,0,0
I1,20/09/20,Genoa,Crotone,4,1,H,3,1,H,17,16,7,4,10,13,6,4,4,2,0,0
I1,20/09/20,Sassuolo,Cagliari,1,1,D,0,0,D,30,7,10,5,9,18,7,3,1,3,0,0
I1,20/09/20,Juventus,Sampdoria,3,0,H,1,0,H,20,16,7,2,15,9,6,4,1,1,0,0
I1,20/09/21,Milan,Bologna,2,0,H,1,0,H,19,14,6,4,13,17,7,4,3,4,0,1
I1,20/09/26,Torino,Atalanta,2,4,A,2,3,A,9,18,5,6,11,12,2,6,1,2,0,0
I1,20/09/26,Cagliari,Lazio,0,2,A,0,1,A,10,17,3,7,8,13,3,6,1,1,0,0
I1,20/09/26,Sampdoria,Benevento,2,3,A,2,1,H,8,16,4,6,17,12,6,4,3,1,0,0
I1,20/09/26,Inter,Fiorentina,4,3,H,1,1,D,22,11,8,5,15,10,5,1,1,1,0,0
I1,20/09/27,Spezia,Sassuolo,1,4,A,1,1,D,11,18,5,7,12,8,3,5,2,1,0,0
I1,20/09/27,Hellas Verona,Udinese,1,0,H,0,0,D,13,22,3,4,14,12,1,9,1,0,0,0
I1,20/09/27,Napoli,Genoa,6,0,H,1,0,H,17,8,10,2,6,13,4,2,1,2,0,0
I1,20/09/27,Crotone,Milan,0,2,A,0,1,A,7,18,0,7,10,14,2,5,1,3,0,0
I1,20/09/27,Roma,Juventus,2,2,D,2,1,H,11,9,6,4,18,9,5,7,2,2,0,1
I1,20/09/28,Bologna,Parma,4,1,H,2,0,H,13,7,9,3,11,8,8,9,1,2,0,1
I1,20/09/30,Benevento,Inter,2,5,A,1,4,A,14,17,7,8,10,15,5,1,1,0,0,0
I1,20/09/30,Udinese,Spezia,0,2,A,0,1,A,13,7,5,4,13,18,2,2,0,4,0,1
I1,20/09/30,Lazio,Atalanta,1,4,A,0,3,A,16,11,7,7,16,11,7,3,6,3,0,0
I1,20/10/02,Fiorentina,Sampdoria,1,2,A,0,1,A,23,18,6,9,10,16,8,4,0,3,0,0
I1,20/10/03,Sassuolo,Crotone,4,1,H,1,0,H,11,16,7,7,6,7,3,4,2,3,0,0
I1,20/10/03,Udinese,Roma,0,1,A,0,0,D,14,15,8,5,0,1,4,1,1,0,0,0
I1,20/10/04,Atalanta,Cagliari,5,2,H,4,1,H,23,14,13,4,11,9,3,9,0,0,0,0
I1,20/10/04,Benevento,Bologna,1,0,H,0,0,D,7,20,2,8,13,14,4,10,2,1,0,0
I1,20/10/04,Lazio,Inter,1,1,D,0,1,A,12,14,5,4,14,12,7,8,3,4,1,1
I1,20/10/04,Parma,Hellas Verona,1,0,H,1,0,H,11,15,4,5,12,16,7,6,1,1,0,0
I1,20/10/04,Milan,Spezia,3,0,H,0,0,D,18,5,7,3,14,19,4,6,1,2,0,0
I1,20/10/17,Napoli,Atalanta,4,1,H,4,0,H,20,14,12,5,10,19,6,2,1,3,0,0
I1,20/10/17,Inter,Milan,1,2,A,1,2,A,19,13,6,5,17,11,3,5,3,3,0,0
I1,20/10/17,Sampdoria,Lazio,3,0,H,2,0,H,13,11,9,0,12,9,4,3,2,2,0,0
I1,20/10/17,Crotone,Juventus,1,1,D,1,1,D,7,9,4,3,17,14,3,4,3,3,0,1
I1,20/10/18,Bologna,Sassuolo,3,4,A,2,1,H,15,26,7,13,18,12,7,11,2,1,0,0
I1,20/10/18,Spezia,Fiorentina,2,2,D,1,2,A,13,11,3,5,15,18,5,5,2,2,0,0
I1,20/10/18,Torino,Cagliari,2,3,A,1,2,A,12,14,7,6,14,15,2,4,2,3,1,0
I1,20/10/18,Udinese,Parma,3,2,H,1,1,D,16,10,5,4,11,10,11,2,3,2,0,0
I1,20/10/18,Roma,Benevento,5,2,H,2,1,H,20,11,7,4,16,5,6,4,3,2,0,0
I1,20/10/19,Hellas Verona,Genoa,0,0,D,0,0,D,22,9,12,3,14,15,14,2,1,4,0,0
I1,20/10/23,Sassuolo,Torino,3,3,D,0,1,A,19,19,7,12,9,12,6,8,2,2,0,0
I1,20/10/24,Atalanta,Sampdoria,1,3,A,0,1,A,22,8,6,5,6,13,3,1,3,4,0,0
I1,20/10/24,Genoa,Inter,0,2,A,0,0,D,2,15,0,6,10,17,1,9,1,1,0,0
I1,20/10/24,Lazio,Bologna,2,1,H,0,0,D,7,22,4,5,14,15,8,9,3,3,0,0
I1,20/10/25,Cagliari,Crotone,4,2,H,3,2,H,21,14,10,7,14,12,5,1,2,3,0,1
I1,20/10/25,Benevento,Napoli,1,2,A,1,0,H,9,18,3,6,18,13,3,15,3,1,0,0
I1,20/10/25,Parma,Spezia,2,2,D,1,2,A,18,14,7,6,12,17,12,3,3,2,0,0
I1,20/10/25,Fiorentina,Udinese,3,2,H,2,1,H,5,17,4,6,16,14,2,7,1,3,0,0
I1,20/10/25,Juventus,Hellas Verona,1,1,D,0,0,D,24,8,8,3,14,18,6,3,1,4,0,0
I1,20/10/26,Milan,Roma,3,3,D,1,1,D,14,13,9,7,13,13,7,7,3,2,0,0
I1,20/10/31,Crotone,Atalanta,1,2,A,1,2,A,8,19,3,7,11,22,1,3,1,3,0,0
I1,20/10/31,Inter,Parma,2,2,D,0,0,D,26,6,9,4,13,7,15,2,1,1,0,0
I1,20/10/31,Bologna,Cagliari,3,2,H,1,1,D,24,10,12,5,13,18,7,3,3,3,0,0
I1,20/11/01,Udinese,Milan,1,2,A,0,1,A,12,15,4,5,14,12,2,4,2,2,0,0
I1,20/11/01,Spezia,Juventus,1,4,A,1,1,D,16,9,3,5,14,7,4,3,3,1,0,0
I1,20/11/01,Torino,Lazio,3,4,A,2,1,H,16,15,7,6,11,12,7,1,2,4,0,0
I1,20/11/01,Napoli,Sassuolo,0,2,A,0,0,D,22,10,7,6,7,10,12,3,2,2,0,0
I1,20/11/01,Roma,Fiorentina,2,0,H,1,0,H,18,9,8,2,17,16,7,4,3,2,0,1
I1,20/11/01,Sampdoria,Genoa,1,1,D,1,1,D,8,12,3,5,18,10,7,4,5,1,0,0
I1,20/11/02,Hellas Verona,Benevento,3,1,H,1,0,H,15,16,7,6,20,15,4,5,5,4,0,1
I1,20/11/04,Genoa,Torino,1,2,A,0,2,A,15,8,3,2,10,18,5,2,2,4,0,0
I1,20/11/06,Sassuolo,Udinese,0,0,D,0,0,D,4,3,2,0,16,13,3,6,2,2,0,0
I1,20/11/07,Cagliari,Sampdoria,2,0,H,0,0,D,19,8,7,3,12,16,2,6,0,2,0,1
I1,20/11/07,Benevento,Spezia,0,3,A,0,1,A,5,8,2,7,13,19,2,4,3,3,0,0
I1,20/11/07,Parma,Fiorentina,0,0,D,0,0,D,5,8,0,5,18,17,2,3,1,2,0,0
I1,20/11/08,Lazio,Juventus,1,1,D,0,1,A,13,13,4,6,13,11,4,2,2,2,0,0
I1,20/11/08,Atalanta,Inter,1,1,D,0,0,D,9,11,3,4,15,12,2,5,1,3,0,0
I1,20/11/08,Genoa,Roma,1,3,A,0,1,A,9,18,6,11,10,11,1,8,1,0,0,0
I1,20/11/08,Torino,Crotone,0,0,D,0,0,D,6,9,2,3,15,16,6,3,3,3,0,1
I1,20/11/08,Bologna,Napoli,0,1,A,0,1,A,12,17,4,5,12,11,4,7,3,0,0,0
I1,20/11/08,Milan,Hellas Verona,2,2,D,1,2,A,35,7,9,4,16,20,14,1,1,3,0,0
I1,20/11/21,Crotone,Lazio,0,2,A,0,1,A,16,17,6,10,10,10,2,6,3,4,0,0
I1,20/11/21,Spezia,Atalanta,0,0,D,0,0,D,9,11,3,5,19,17,1,2,3,3,0,0
I1,20/11/21,Juventus,Cagliari,2,0,H,2,0,H,25,5,9,0,12,7,9,1,3,2,0,0
I1,20/11/22,Fiorentina,Benevento,0,1,A,0,0,D,10,16,5,5,14,17,4,4,2,3,0,0
I1,20/11/22,Inter,Torino,4,2,H,0,1,A,14,14,5,7,20,14,1,1,3,2,0,0
I1,20/11/22,Roma,Parma,3,0,H,3,0,H,21,2,8,2,5,4,4,1,0,0,0,0
I1,20/11/22,Sampdoria,Bologna,1,2,A,1,1,D,14,11,6,4,12,9,9,10,2,2,0,0
I1,20/11/22,Hellas Verona,Sassuolo,0,2,A,0,1,A,24,15,4,5,13,20,6,1,1,3,0,0
I1,20/11/22,Udinese,Genoa,1,0,H,1,0,H,9,12,3,2,17,15,4,8,2,3,0,1
I1,20/11/22,Napoli,Milan,1,3,A,0,1,A,19,14,7,8,8,16,8,5,2,4,1,0
I1,20/11/28,Sassuolo,Inter,0,3,A,0,2,A,15,11,4,4,11,13,6,2,3,1,0,0
I1,20/11/28,Benevento,Juventus,1,1,D,1,1,D,11,17,6,7,13,11,5,8,6,1,0,1
I1,20/11/28,Atalanta,Hellas Verona,0,2,A,0,0,D,19,10,6,4,11,14,4,1,2,3,0,0
I1,20/11/29,Lazio,Udinese,1,3,A,0,2,A,12,10,7,5,17,10,4,4,3,4,0,0
I1,20/11/29,Bologna,Crotone,1,0,H,1,0,H,13,10,7,2,15,18,10,3,2,4,0,0
I1,20/11/29,Milan,Fiorentina,2,0,H,2,0,H,14,5,4,3,15,15,3,6,2,4,0,0
I1,20/11/29,Cagliari,Spezia,2,2,D,0,1,A,12,18,5,7,16,18,4,5,0,4,0,0
I1,20/11/29,Napoli,Roma,4,0,H,1,0,H,15,10,9,3,3,10,11,4,1,2,0,0
