Season,Pos,Team,Pts
2003,1,Valencia,77
2003,2,Barcelona,72
2003,3,La Coruna,71
2003,4,Real Madrid,70
2003,5,Ath Bilbao,56
2003,6,Sevilla,55
2003,7,Ath Madrid,55
2003,8,Villarreal,54
2003,9,Betis,52
2003,10,Malaga,51
2003,11,Mallorca,51
2003,12,Zaragoza,48
2003,13,Osasuna,48
2003,14,Albacete,47
2003,15,Sociedad,46
2003,16,Espanol,43
2003,17,Santander,42
2003,18,Valladolid,41
2003,19,Celta,39
2003,20,Murcia,26
2004,1,Barcelona,84
2004,2,Real Madrid,80
2004,3,Villarreal,65
2004,4,Betis,62
2004,5,Espanol,61
2004,6,Sevilla,60
2004,7,Valencia,58
2004,8,La Coruna,51
2004,9,Ath Bilbao,51
2004,10,Malaga,51
2004,11,Ath Madrid,50
2004,12,Zaragoza,50
2004,13,Getafe,47
2004,14,Sociedad,47
2004,15,Osasuna,46
2004,16,Santander,44
2004,17,Mallorca,39
2004,18,Levante,37
2004,19,Numancia,29
2004,20,Albacete,28
2005,1,Barcelona,82
2005,2,Real Madrid,70
2005,3,Valencia,69
2005,4,Osasuna,68
2005,5,Sevilla,68
2005,6,Celta,64
2005,7,Villarreal,57
2005,8,La Coruna,55
2005,9,Getafe,54
2005,10,Ath Madrid,52
2005,11,Zaragoza,46
2005,12,Ath Bilbao,45
2005,13,Mallorca,43
2005,14,Betis,42
2005,15,Espanol,41
2005,16,Sociedad,40
2005,17,Santander,40
2005,18,Alaves,39
2005,19,Cadiz,36
2005,20,Malaga,24
2006,1,Real Madrid,76
2006,2,Barcelona,76
2006,3,Sevilla,71
2006,4,Valencia,66
2006,5,Villarreal,62
2006,6,Zaragoza,60
2006,7,Ath Madrid,60
2006,8,Recreativo,54
2006,9,Getafe,52
2006,10,Santander,50
2006,11,Espanol,49
2006,12,Mallorca,49
2006,13,La Coruna,47
2006,14,Osasuna,46
2006,15,Levante,42
2006,16,Betis,40
2006,17,Ath Bilbao,40
2006,18,Celta,39
2006,19,Sociedad,35
2006,20,Gimnastic,28
2007,1,Real Madrid,85
2007,2,Villarreal,77
2007,3,Barcelona,67
2007,4,Ath Madrid,64
2007,5,Sevilla,64
2007,6,Santander,60
2007,7,Mallorca,59
2007,8,Almeria,52
2007,9,La Coruna,52
2007,10,Valencia,51
2007,11,Ath Bilbao,50
2007,12,Espanol,48
2007,13,Betis,47
2007,14,Getafe,47
2007,15,Valladolid,45
2007,16,Recreativo,44
2007,17,Osasuna,43
2007,18,Zaragoza,42
2007,19,Murcia,30
2007,20,Levante,26
2008,1,Barcelona,87
2008,2,Real Madrid,78
2008,3,Sevilla,70
2008,4,Ath Madrid,67
