Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SP1,20/09/12,Eibar,Celta,0,0,D,0,0,D,9,7,2,4,11,11,3,3,3,4,1,0
SP1,20/09/12,Granada,Ath Bilbao,2,0,H,0,0,D,4,9,3,3,9,10,1,2,3,4,0,0
SP1,20/09/12,Cadiz,Osasuna,0,2,A,0,1,A,12,7,4,4,15,21,6,2,2,2,0,0
SP1,20/09/13,Alaves,Betis,0,1,A,0,0,D,9,11,3,4,18,17,6,4,3,3,0,0
SP1,20/09/13,Valladolid,Sociedad,1,1,D,1,0,H,9,9,2,3,15,17,5,3,4,1,0,0
SP1,20/09/13,Villarreal,Huesca,1,1,D,0,1,A,16,10,4,4,11,19,6,6,1,1,0,0
SP1,20/09/13,Valencia,Levante,4,2,H,2,2,D,15,20,8,9,9,14,3,4,1,4,0,0
SP1,20/09/19,Villarreal,Eibar,2,1,H,0,0,D,15,11,9,5,5,12,4,3,1,1,0,0
SP1,20/09/19,Getafe,Osasuna,1,0,H,0,0,D,6,10,2,4,19,13,4,1,4,2,0,0
SP1,20/09/19,Celta,Valencia,2,1,H,1,0,H,21,8,6,4,12,13,6,6,3,1,0,0
SP1,20/09/20,Huesca,Cadiz,0,2,A,0,1,A,7,6,2,4,18,23,2,1,3,3,0,0
SP1,20/09/20,Granada,Alaves,2,1,H,1,1,D,12,5,3,3,9,14,4,4,0,3,0,0
SP1,20/09/20,Betis,Valladolid,2,0,H,2,0,H,16,9,5,3,18,10,5,3,3,0,0,0
SP1,20/09/20,Sociedad,Real Madrid,0,0,D,0,0,D,7,18,2,5,17,12,1,11,2,2,0,0
SP1,20/09/26,Alaves,Getafe,0,0,D,0,0,D,9,13,0,4,12,14,1,5,2,2,0,0
SP1,20/09/26,Valencia,Huesca,1,1,D,1,0,H,5,16,3,3,14,20,4,4,0,1,0,0
SP1,20/09/26,Elche,Sociedad,0,3,A,0,0,D,6,30,2,8,10,12,2,11,3,1,0,0
SP1,20/09/26,Betis,Real Madrid,2,3,A,2,1,H,14,16,5,6,9,9,8,3,5,2,1,0
SP1,20/09/27,Osasuna,Levante,1,3,A,1,1,D,9,11,4,5,15,17,3,7,2,0,0,0
SP1,20/09/27,Eibar,Ath Bilbao,1,2,A,0,1,A,8,11,2,6,15,12,5,4,1,1,0,0
SP1,20/09/27,Ath Madrid,Granada,6,1,H,1,0,H,16,11,10,6,16,14,1,1,3,2,0,0
SP1,20/09/27,Cadiz,Sevilla,1,3,A,0,0,D,11,14,4,6,8,13,6,5,4,2,0,0
SP1,20/09/27,Valladolid,Celta,1,1,D,0,1,A,12,7,5,2,24,17,4,1,3,4,0,0
SP1,20/09/27,Barcelona,Villarreal,4,0,H,4,0,H,16,5,8,2,7,6,8,4,0,1,0,0
SP1,20/09/29,Sociedad,Valencia,0,1,A,0,0,D,12,10,4,6,15,15,9,3,1,5,0,0
SP1,20/09/29,Getafe,Betis,3,0,H,3,0,H,7,11,4,3,14,17,1,4,4,3,0,1
SP1,20/09/30,Huesca,Ath Madrid,0,0,D,0,0,D,9,19,3,4,11,8,5,7,1,0,0,0
SP1,20/09/30,Villarreal,Alaves,3,1,H,2,1,H,12,9,7,4,10,13,2,0,0,2,0,0
SP1,20/09/30,Eibar,Elche,0,1,A,0,1,A,15,6,7,3,9,12,3,2,2,2,0,0
SP1,20/09/30,Real Madrid,Valladolid,1,0,H,0,0,D,16,12,6,6,11,7,4,7,2,1,0,0
SP1,20/10/01,Ath Bilbao,Cadiz,0,1,A,0,0,D,14,5,4,3,16,14,5,2,3,3,0,2
SP1,20/10/01,Sevilla,Levante,1,0,H,0,0,D,15,4,3,2,12,15,2,4,6,2,0,0
SP1,20/10/01,Celta,Barcelona,0,3,A,0,1,A,6,7,4,5,22,10,3,7,5,4,0,1
SP1,20/10/03,Valladolid,Eibar,1,2,A,1,1,D,11,12,5,5,10,18,3,4,2,3,0,1
SP1,20/10/03,Ath Madrid,Villarreal,0,0,D,0,0,D,12,6,2,3,12,6,9,1,1,2,0,0
SP1,20/10/03,Sociedad,Getafe,3,0,H,1,0,H,13,7,8,3,17,15,5,4,3,3,0,0
SP1,20/10/03,Elche,Huesca,0,0,D,0,0,D,3,18,0,6,7,24,0,5,0,2,0,0
SP1,20/10/03,Valencia,Betis,0,2,A,0,1,A,6,17,4,9,0,1,4,7,2,2,0,0
SP1,20/10/04,Osasuna,Celta,2,0,H,1,0,H,14,9,5,3,21,12,6,5,3,3,0,0
SP1,20/10/04,Alaves,Ath Bilbao,1,0,H,0,0,D,8,9,4,2,19,16,0,6,1,3,1,0
SP1,20/10/04,Levante,Real Madrid,0,2,A,0,1,A,12,14,5,4,14,7,4,6,2,1,0,0
SP1,20/10/04,Cadiz,Granada,1,1,D,0,1,A,12,11,3,3,9,10,2,5,2,2,0,0
SP1,20/10/04,Barcelona,Sevilla,1,1,D,1,1,D,14,14,7,2,12,17,6,5,1,1,0,0
SP1,20/10/17,Granada,Sevilla,1,0,H,0,0,D,13,8,3,3,15,12,5,1,4,3,0,1
SP1,20/10/17,Celta,Ath Madrid,0,2,A,0,1,A,15,10,5,5,17,19,8,4,3,4,0,0
SP1,20/10/17,Real Madrid,Cadiz,0,1,A,0,1,A,14,15,2,5,7,5,4,11,2,0,0,0
SP1,20/10/17,Getafe,Barcelona,1,0,H,0,0,D,10,8,5,3,20,9,7,2,4,3,0,0
SP1,20/10/18,Eibar,Osasuna,0,0,D,0,0,D,10,10,6,4,14,14,6,7,2,2,0,1
